available_measure_stem
ACCESS2
ARTHRITIS
BINGE
BPHIGH
BPMED
CANCER
CASTHMA
CHD
CHECKUP
CHOLSCREEN
COGNITION
COLON_SCREEN
COPD
CSMOKING
DENTAL
DEPRESSION
DIABETES
DISABILITY
EMOTIONSPT
FOODINSECU
FOODSTAMP
GHLTH
HEARING
HIGHCHOL
HOUSINSECU
INDEPLIVE
LACKTRPT
LONELINESS
LPA
MAMMOUSE
MHLTH
MOBILITY
OBESITY
PHLTH
SELFCARE
SHUTUTILITY
SLEEP
STROKE
TEETHLOST
VISION
