run,sample_size,ari_vs_reference_on_sample
0,2606,0.9703110290287039
1,2606,0.9781077582298426
2,2606,0.9691951811034363
3,2606,0.9776561123779033
4,2606,0.9924431669026444
5,2606,0.9614555741073813
6,2606,0.968211437474767
7,2606,0.9642812523990768
8,2606,0.9790322937477287
9,2606,0.9946212460492542
