algorithm,n_clusters,silhouette,davies_bouldin,calinski_harabasz,noise_pct,min_cluster_size,max_cluster_size,balance_ratio,params,valid_solution,largest_cluster_share,tiny_cluster_flag,dominant_cluster_flag,degenerate_structure_flag,ranking_score
KMeans,4,0.39912015076546087,0.8776778629533397,2956.9454825862867,0.0,405,1269,0.3191489361702128,k=4,True,0.38950276243093923,False,False,False,40.72323134046644
KMeans,3,0.37636590395505354,0.9347002326589061,3077.872147864818,0.0,454,1498,0.3030707610146863,k=3,True,0.4597912829957029,False,False,False,37.83726049713679
Agglomerative,3,0.37517744806810666,0.9593304137051616,2885.6425746401937,0.0,358,1606,0.22291407222914073,"k=3, linkage=ward",True,0.49294045426642114,False,False,False,37.006860397790696
Agglomerative,4,0.36624547407102437,0.9574930957264998,2560.0168997996357,0.0,358,1606,0.22291407222914073,"k=4, linkage=ward",True,0.49294045426642114,False,False,False,36.01234649606743
KMeans,5,0.33258399391649124,0.9311789875426678,2779.4086915190223,0.0,364,1020,0.3568627450980392,k=5,True,0.31307550644567217,False,False,False,33.66127644892999
KMeans,7,0.3310550246296687,0.9572895265425129,2641.325447481969,0.0,168,784,0.21428571428571427,k=7,True,0.24063842848373235,False,False,False,32.48345042870774
KMeans,6,0.33414913092384363,0.9768002582157197,2714.139836867472,0.0,170,980,0.17346938775510204,k=6,True,0.30079803560466545,False,False,False,32.42085618533625
Agglomerative,5,0.3064839966812422,1.028102117330989,2490.721992672655,0.0,358,1024,0.349609375,"k=5, linkage=ward",True,0.31430325352977284,False,False,False,29.936154683575715
Agglomerative,6,0.2845621637547664,1.1252764080049635,2298.4229322723663,0.0,276,1024,0.26953125,"k=6, linkage=ward",True,0.31430325352977284,False,False,False,26.291522016851808
