algorithm,n_clusters,silhouette,davies_bouldin,calinski_harabasz,noise_pct,min_cluster_size,max_cluster_size,balance_ratio,params
KMeans,3,0.37636590395505354,0.9347002326589061,3077.872147864818,0.0,454,1498,0.3030707610146863,k=3
KMeans,4,0.39912015076546087,0.8776778629533397,2956.9454825862867,0.0,405,1269,0.3191489361702128,k=4
KMeans,5,0.33258399391649124,0.9311789875426678,2779.4086915190223,0.0,364,1020,0.3568627450980392,k=5
KMeans,6,0.33414913092384363,0.9768002582157197,2714.139836867472,0.0,170,980,0.17346938775510204,k=6
KMeans,7,0.3310550246296687,0.9572895265425129,2641.325447481969,0.0,168,784,0.21428571428571427,k=7
