,difference_from_overall_mean
LPA_CrudePrev,-1.3227788047672966
GHLTH_CrudePrev,-1.3047162915960595
PHLTH_CrudePrev,-1.2805663083074559
CSMOKING_CrudePrev,-1.2085475578621785
OBESITY_CrudePrev,-1.2022989368381474
DIABETES_CrudePrev,-1.1730860936844654
TEETHLOST_CrudePrev,-1.1513712469252493
FOODSTAMP_CrudePrev,-1.1426625199021299
SLEEP_CrudePrev,-1.1352122986307078
MHLTH_CrudePrev,-1.1261503118906955
