,difference_from_overall_mean
FOODSTAMP_CrudePrev,1.6760429685647624
CASTHMA_CrudePrev,1.6356046393752688
STROKE_CrudePrev,1.5673087414188802
LACKTRPT_CrudePrev,1.5384187408708643
DIABETES_CrudePrev,1.522807555790722
SLEEP_CrudePrev,1.518998064938585
TEETHLOST_CrudePrev,1.4878489824418435
HOUSINSECU_CrudePrev,1.4552134492437023
GHLTH_CrudePrev,1.396371660976075
CSMOKING_CrudePrev,1.349273153172285
